molecule,match
CCCCCCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCCCCCCC,False
CCCCCCCCCCCCCCCCCCCC(=O)OC,False
CCCCCCCCCCCCCCCCCCO,True
CCCCCCCCCCCCCCCCCCOC(=O)C,False
CCCCCCCCCCCCCCCCO,True
CCCCCCCCCCCCCCCCOC(=O)C,False
CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCC,False
CCCCCCCCCCCCCCCCc1cc(C)c(C)cc1C,False
CCCCCCCCCCCCCCO,True
CCCCCCCCCCCCCCOC(=O)C,False
CCCCCCCCCCCCO,True
CCCCCCCCCCCCOC(=O)C,False
CCCCCCCCCCCCOC(=O)CCCC,False
CCCCCCCCCCCCOC(=O)CCCCCCCCCCC,False
CCCCCCCCCCCCOC=C,False
CCCCCCCCCCCC[C@@H](C)C1CCCCC1,True
CCCCCCCCCCCO,False
CCCCCCCCCCO,True
CCCCCCCCCCOC(=O)C,False
CCCCCCCCCCOC(=O)CCCC,False
CCCCCCCCCCOC(=O)CCCCCCCC=CCCCCCCCC,False
CCCCCCCCCCOC(=O)CCCCCCCCC,False
CCCCCCCCCO,True
CCCCCCCCC[C@H](C)/C=C/[C@@H](C)CCCCCCCCC,False
CCCCCCCCC[C@H](C)c1ccccc1,True
CCCCCCCCO,True
CCCCCCCCOC(=O)C(C)OC,True
CCCCCCCCOC(=O)CCCC,False
CCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCC,False
CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,True
CCCCCCCCOC(C)=O,False
CCCCCCCCOC(C)C(=O)OC,True
CCCCCCCCOC(C)C(=O)OCC,True
CCCCCCCCOCCCCCCCC,False
CCCCCCCC[C@@H](CCC)[C@H](CCC)CCCCCCCC,True
CCCCCCCCc1ccc2ccccc2c1,False
CCCCCCCCc1cccc(C)c1C,True
CCCCCCCO,True
CCCCCCCOC(=O)CC,False
CCCCCCO,False
CCCCCCOC,True
CCCCCCOC(=O)C,True
CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCC,False
CCCCCCOC(=O)CCC,False
CCCCCCOC(=O)CCC.CCCCCCOC(=O)CCC,True
CCCCCCOC(=O)CCCCC,False
CCCCCCOC(=O)CCCCCCCC(=O)OCCCCCC,False
CCCCCCOC(C)C(=O)OC,False
CCCCCCOCC(CC)CC,True
CCCCCCOCCCCCC,True
CCCCCC[C@@H](C(C)C)C1CCCCC1,True
CCCCCC[C@@H](C)/C=C/[C@H](C)CCCCCC,True
CCCCCC[C@H](C/C=C\CCCCCCCC(=O)OC)O,False
CCCCCC[C@](C)(CC)C1CCCC2CCCCC12,True
CCCCCO,False
CCCCCOC(=O)C,True
CCCCCOC(=O)CCCC,False
CCCCCOCCCCC,True
CCCCOC(=O)/C=C\C(=O)OCCCC,False
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,False
CCCCOC(=O)C=CC(=O)OCCCC,False
CCCCOC(=O)CC(=O)OCCCC,False
CCCCOC(=O)CCC,False
CCCCOC(=O)CCC(=O)C,False
CCCCOC(=O)CCC(=O)OCCCC,False
CCCCOC(=O)CCCCC(=O)OCCCC,False
CCCCOC(=O)CCCCCCC/C=C/C/C=C/C/C=C/CC,False
CCCCOC(=O)CCCCCCCC(=O)OCCCC,False
CCCCOC(=O)CCCCCCCC=CCC=CCC=CCC,False
CCCCOC(C)C(=O)OC,True
CCCCOC(CCC)CCC,True
CCCCOCC,False
CCCCOCC(C)O,False
CCCCOCCCC,True
CCCCOCCO,False
CCCCOCOCCCC,False
CCCCc1cccc2ccccc12,True
CCCO,True
CCCOC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,False
CCCOC(=O)CCCCCCCC=CCC=CCC=CCC,False
CCCOCCC,False
CCC[C@@H](CC)C1CCCCC1,True
CCO,True
CCOC(=O)C(=O)OCC,False
CCOC(=O)C(C)OCC,False
CCOC(=O)CC(=O)C,False
CCOC(=O)CCC(=O)C,False
CCOC(=O)CCC(=O)OCC,False
CCOC(=O)CCCCC(=O)OCC,True
CCOC(=O)CCCCCCCC(=O)OCC,False
CCOC(=O)CCCCCCCCC(=O)OCC,False
CCOC(C)OCC,False
CCOCC,True
CCOCC1=CC=CO1,False
CCOCC1CCCO1,True
CCOCCCCOCC,True
CCOCCOC(C)=O,False
CCOCCOCCO,False
CCOCCOCCOCC,False
CCOCOCC,False
CCOCOCOCC,True
CCOCOCOCOCC,False
CCOCOCOCOCOCC,False
